시도,시군구,발생건수,사망자수,부상자수,중상,경상,부상신고
서울,강남구,2,0,2,0,2,0
서울,강동구,29,1,64,13,44,7
서울,송파구,17,2,30,6,23,1
서울,서초구,41,4,140,25,108,7
서울,양천구,2,0,3,0,3,0
서울,중랑구,2,0,4,1,3,0
서울,노원구,2,1,2,1,1,0
서울,금천구,10,0,23,5,16,2
부산,북구,1,1,0,0,0,0
부산,금정구,11,1,26,7,18,1
부산,강서구,47,0,83,24,56,3
부산,사상구,4,0,7,2,5,0
부산,기장군,9,0,23,16,7,0
경기,수원시,65,3,110,21,74,15
경기,성남시,203,2,617,97,375,145
경기,의정부시,24,1,47,11,33,3
경기,안양시,49,2,90,17,70,3
경기,부천시,50,1,77,20,53,4
경기,안산시,102,5,205,36,143,26
경기,평택시,107,5,293,63,192,38
경기,광명시,25,0,41,9,20,12
경기,구리시,76,1,114,17,90,7
경기,양주시,14,0,21,6,14,1
경기,여주시,61,2,155,39,113,3
경기,화성시,166,4,397,72,292,33
경기,시흥시,117,3,204,41,146,17
경기,고양시,34,3,79,20,55,4
경기,광주시,51,2,136,20,105,11
경기,포천시,3,0,4,1,3,0
경기,가평군,8,0,25,3,21,1
경기,양평군,10,0,26,8,16,2
경기,이천시,61,4,118,29,73,16
경기,용인시,286,8,909,145,611,153
경기,안성시,84,3,203,32,157,14
경기,김포시,31,0,59,9,46,4
경기,과천시,1,0,4,0,4,0
경기,군포시,45,1,87,8,76,3
경기,남양주시,40,1,64,15,36,13
경기,오산시,47,0,121,15,85,21
경기,의왕시,50,1,96,17,54,25
경기,하남시,91,1,196,31,144,21
강원,춘천시,34,2,153,24,123,6
강원,원주시,46,2,143,25,106,12
강원,동해시,6,1,9,1,8,0
강원,강릉시,28,1,83,14,68,1
강원,삼척시,2,1,2,1,1,0
강원,홍천군,20,0,72,12,55,5
강원,횡성군,32,1,82,18,61,3
강원,평창군,48,8,162,33,117,12
강원,화천군,1,0,1,0,1,0
강원,인제군,10,1,39,15,16,8
강원,양양군,5,0,14,8,4,2
충북,청주시,103,3,222,30,188,4
충북,충주시,50,11,139,48,87,4
충북,제천시,19,0,46,13,28,5
충북,보은군,13,5,23,11,11,1
충북,옥천군,9,2,15,9,6,0
충북,영동군,4,2,9,5,4,0
충북,진천군,38,3,106,22,83,1
충북,괴산군,13,3,27,9,18,0
충북,음성군,28,3,88,21,66,1
충북,단양군,8,1,78,9,68,1
충남,천안시,132,5,357,73,276,8
충남,보령시,13,0,35,14,21,0
충남,공주시,56,9,140,40,97,3
충남,서산시,10,2,27,7,20,0
충남,금산군,4,1,9,2,7,0
충남,논산시,15,1,45,10,35,0
충남,부여군,1,1,2,0,2,0
충남,서천군,9,2,25,11,14,0
충남,청양군,5,2,9,2,6,1
충남,홍성군,5,1,5,3,2,0
충남,예산군,5,0,13,1,12,0
충남,당진시,26,2,164,61,88,15
충남,계룡시,2,0,3,0,3,0
전북,전주시,4,1,10,2,8,0
전북,군산시,5,2,11,5,6,0
전북,정읍시,17,1,42,14,27,1
전북,남원시,4,3,7,2,5,0
전북,김제시,7,3,10,3,6,1
전북,완주군,9,3,12,3,9,0
전북,무주군,1,2,0,0,0,0
전북,장수군,1,1,1,1,0,0
전북,임실군,3,0,24,9,15,0
전북,순창군,3,1,2,1,1,0
전북,고창군,9,3,25,11,14,0
전북,부안군,7,0,40,11,29,0
전북,익산시,11,4,19,8,10,1
전남,순천시,26,2,67,19,40,8
전남,나주시,3,0,10,6,4,0
전남,광양시,10,1,15,3,11,1
전남,담양군,17,2,27,3,24,0
전남,곡성군,10,1,18,6,11,1
전남,구례군,2,0,3,1,2,0
전남,보성군,5,1,9,2,7,0
전남,강진군,1,0,2,0,2,0
전남,무안군,10,1,26,4,22,0
전남,함평군,9,3,18,4,13,1
전남,영광군,2,1,11,8,3,0
전남,장성군,16,2,28,7,20,1
경북,포항시,3,0,9,5,4,0
경북,경주시,28,2,63,17,43,3
경북,김천시,26,6,35,13,22,0
경북,안동시,8,0,20,8,12,0
경북,구미시,28,1,70,23,42,5
경북,영주시,2,0,6,5,1,0
경북,영천시,22,4,50,27,22,1
경북,문경시,12,1,19,4,14,1
경북,상주시,23,1,45,9,35,1
경북,군위군,15,5,22,2,19,1
경북,의성군,4,0,11,8,3,0
경북,청송군,5,0,6,2,4,0
경북,영덕군,2,1,1,1,0,0
경북,청도군,4,0,7,2,5,0
경북,고령군,9,0,13,2,11,0
경북,성주군,10,1,16,5,11,0
경북,칠곡군,37,0,55,9,43,3
경북,경산시,5,0,12,3,8,1
경남,진주시,20,6,28,13,15,0
경남,김해시,102,3,221,64,146,11
경남,밀양시,20,2,41,14,25,2
경남,함안군,37,5,106,30,73,3
경남,창녕군,5,0,6,4,2,0
경남,양산시,42,1,64,26,36,2
경남,고성군,3,0,7,0,7,0
경남,사천시,5,0,18,5,13,0
경남,하동군,4,0,7,5,2,0
경남,산청군,2,0,4,0,4,0
경남,함양군,2,1,2,1,1,0
경남,거창군,3,1,4,2,2,0
경남,창원시(통합),37,1,93,17,76,0
대구,동구,18,3,32,12,19,1
대구,서구,12,0,19,4,14,1
대구,북구,47,3,131,34,93,4
대구,수성구,5,0,9,4,5,0
대구,달서구,3,1,6,5,1,0
대구,달성군,17,5,22,12,10,0
인천,중구,15,1,32,10,22,0
인천,동구,4,0,7,4,3,0
인천,남구,31,0,58,15,38,5
인천,부평구,65,0,122,27,80,15
인천,남동구,47,1,76,15,56,5
인천,서구,41,3,61,10,38,13
인천,연수구,13,0,14,2,10,2
인천,계양구,79,2,130,33,81,16
광주,북구,26,1,45,6,38,1
광주,광산구,14,2,24,3,20,1
대전,동구,11,1,21,1,20,0
대전,중구,2,0,3,1,2,0
대전,서구,2,0,3,0,3,0
대전,유성구,24,1,55,15,40,0
대전,대덕구,27,3,61,14,44,3
울산,울주군,43,1,88,29,55,4
세종,세종,5,1,9,2,7,0
