,internet2007,internet2009,internet2010,internet2011,internet2012,2013internet,internet2014,internet2015,internet2016,internet2017
Alabama,53.5,60.6,69.3,66.5,66.5,68.7,69.3,69.8,74.7,76.3
Alaska,76.1,79.2,79.4,77.0,81.9,82.6,81.0,79.3,85.7,75.0
Arizona,61.4,69.1,70.7,68.4,69.5,76,72.7,69.4,83.1,77.1
Arkansas,53.1,61.0,63.5,61.4,70.1,65.7,68.9,72.0,70.9,75.1
California,60.9,67.6,71.0,68.0,73.5,80.5,77.1,73.6,85.4,76.0
Colorado,67.4,74.9,74.6,78.1,81.2,83,79.0,75.0,86.9,74.5
Connecticut,67.6,75.2,78.1,76.5,79.5,83.9,80.8,77.6,84.1,74.9
Delaware,65.9,72.5,74.8,71.8,78.8,78.1,77.7,77.2,83.3,80.1
District of Columbia,66.1,69.9,69.0,70.6,73.5,75.8,76.8,77.8,79.8,71.8
Florida,62.1,70.0,72.6,71.9,76.2,78.3,74.5,70.7,81.2,78.9
Georgia,62.3,68.6,71.5,69.9,76.5,76.3,75.5,74.7,80.7,80.5
Hawaii,58.8,67.4,69.7,65.6,75.4,83.3,77.3,71.2,83.2,74.9
Idaho,57.4,74.1,74.4,73.1,81.2,78.6,80.0,81.4,79.4,82.8
Illinois,66.4,72.1,72.2,70.0,78.5,79.3,80.3,81.3,82.0,83.5
Indiana,61.7,65.5,67.9,68.4,76.4,75.3,76.1,76.9,79.2,77.7
Iowa,66.7,71.0,74.4,72.6,76.1,78.7,79.1,79.5,79.6,83.6
Kansas,67.0,74.0,77.1,75.1,78.8,78.8,76.4,73.9,80.3,77.8
Kentucky,59.2,61.3,64.8,65.8,71.9,74.8,75.1,75.3,77.3,76.7
Louisiana,57.3,60.5,67.6,66.3,66.2,70.3,71.9,73.5,74.4,78.1
Maine,68.2,72.6,76.6,73.4,80.5,79.2,78.7,78.2,80.7,83.7
Maryland,67.4,73.4,77.1,74.1,81.0,83.4,81.4,79.3,85.8,80.4
Massachusetts,67.9,74.4,78.4,74.5,79.3,85.3,81.0,76.7,85.5,74.6
Michigan,64.7,71.4,74.3,73.3,78.2,76.3,75.7,75.1,80.5,75.8
Minnesota,73.1,76.1,77.4,79.1,82.6,82.6,82.9,83.1,83.5,84.0
Mississippi,51.5,55.0,62.7,59.0,66.2,62.3,66.1,69.8,70.7,73.5
Missouri,61.5,68.1,69.8,68.3,74.6,75.6,76.1,76.6,79.3,77.2
Montana,64.6,68.0,71.2,67.7,77.4,77.6,76.3,75.0,78.9,74.9
Nebraska,66.8,73.6,75.9,74.1,75.9,78.8,78.8,78.7,81.6,80.2
Nevada,64.5,67.8,71.8,68.2,77.5,79.4,78.8,78.2,80.9,83.5
New Hampshire,74.6,75.5,80.3,79.7,83.5,85.7,84.0,82.3,86.4,85.4
New Jersey,66.0,74.3,74.6,73.5,78.2,84.5,81.2,77.9,84.2,78.5
New Mexico,57.9,61.6,64.0,60.4,67.9,68.1,70.1,72.1,73.7,73.3
New York,59.0,66.0,70.0,69.1,73.4,80.6,76.7,72.8,81.7,74.7
North Carolina,58.4,65.0,68.7,66.2,73.1,75.2,72.8,70.4,79.0,76.3
North Dakota,68.2,71.6,76.8,71.7,81.4,79.4,76.0,72.5,81.4,79.6
Ohio,62.9,68.5,71.5,69.5,71.9,77.1,75.4,73.6,80.9,75.5
Oklahoma,57.6,64.3,70.1,64.6,69.4,71.1,70.9,70.7,77.2,76.0
Oregon,66.8,75.5,76.5,76.4,82.1,82.4,81.5,80.5,84.9,84.8
Pennsylvania,63.9,68.8,73.1,69.5,76.2,78.9,75.2,71.4,80.5,74.2
Rhode Island,64.9,70.6,73.3,72.3,75.5,82.9,80.9,78.9,82.8,79.9
South Carolina,56.6,61.6,65.7,64.9,71.9,71.7,72.5,73.2,77.0,78.0
South Dakota,66.8,66.3,72.7,73.0,75.5,76,74.3,72.6,79.5,75.0
Tennessee,57.8,64.0,64.6,63.2,69.1,72.2,70.8,69.4,76.6,75.6
Texas,55.4,60.4,67.7,64.0,68.1,74.6,73.0,71.4,76.7,75.7
Utah,71.8,77.9,78.2,76.3,81.2,83.8,82.2,80.6,85.4,84.7
Vermont,68.0,76.1,76.4,75.6,82.0,80.9,81.7,82.5,81.1,78.9
Virginia,67.0,70.9,73.1,70.2,75.4,80.6,79.3,78.0,83.4,81.7
Washington,73.4,78.8,79.7,80.0,80.9,83,81.1,79.1,87.4,84.1
West Virginia,52.9,60.3,67.1,64.1,64.0,71.8,71.8,71.7,74.2,75.8
Wisconsin,69.3,74.9,77.7,75.2,79.8,79,80.8,82.5,81.3,83.3
Wyoming,70.7,74.4,78.0,74.2,80.5,80.5,80.3,80.0,83.2,82.1
US,,,,,,78.1,,,,
